crime_type,day_of_week,time_of_day,crime_frequency
Aggravated Assault,Monday,early_morning,0.02004894578313253
Aggravated Assault,Monday,late_morning,0.017507530120481927
Aggravated Assault,Monday,afternoon,0.043109939759036146
Aggravated Assault,Monday,evening,0.05233433734939759
Aggravated Assault,Tuesday,early_morning,0.025508283132530122
Aggravated Assault,Tuesday,late_morning,0.01882530120481928
Aggravated Assault,Tuesday,afternoon,0.04198042168674699
Aggravated Assault,Tuesday,evening,0.05158132530120482
Aggravated Assault,Wednesday,early_morning,0.024284638554216868
Aggravated Assault,Wednesday,late_morning,0.017695783132530122
Aggravated Assault,Wednesday,afternoon,0.041321536144578314
Aggravated Assault,Wednesday,evening,0.05073418674698795
Aggravated Assault,Thursday,early_morning,0.021460843373493976
Aggravated Assault,Thursday,late_morning,0.015719126506024098
Aggravated Assault,Thursday,afternoon,0.03943900602409638
Aggravated Assault,Thursday,evening,0.05139307228915663
Aggravated Assault,Friday,early_morning,0.02579066265060241
Aggravated Assault,Friday,late_morning,0.01873117469879518
Aggravated Assault,Friday,afternoon,0.042639307228915665
Aggravated Assault,Friday,evening,0.05562876506024096
Aggravated Assault,Saturday,early_morning,0.04066265060240964
Aggravated Assault,Saturday,late_morning,0.01948418674698795
Aggravated Assault,Saturday,afternoon,0.04085090361445783
Aggravated Assault,Saturday,evening,0.05600527108433735
Aggravated Assault,Sunday,early_morning,0.04376882530120482
Aggravated Assault,Sunday,late_morning,0.021649096385542167
Aggravated Assault,Sunday,afternoon,0.045651355421686746
Aggravated Assault,Sunday,evening,0.05619352409638554
Destructive/Damage/Vandalism Of Property,Monday,early_morning,0.027167656674494636
Destructive/Damage/Vandalism Of Property,Monday,late_morning,0.03379840677810011
Destructive/Damage/Vandalism Of Property,Monday,afternoon,0.04374453193350831
Destructive/Damage/Vandalism Of Property,Monday,evening,0.047152000736750015
Destructive/Damage/Vandalism Of Property,Tuesday,early_morning,0.023944375374130866
Destructive/Damage/Vandalism Of Property,Tuesday,late_morning,0.030160703596260992
Destructive/Damage/Vandalism Of Property,Tuesday,afternoon,0.03877146935580421
Destructive/Damage/Vandalism Of Property,Tuesday,evening,0.042731500667679695
Destructive/Damage/Vandalism Of Property,Wednesday,early_morning,0.022977390984021732
Destructive/Damage/Vandalism Of Property,Wednesday,late_morning,0.026845328544458258
Destructive/Damage/Vandalism Of Property,Wednesday,afternoon,0.04181056315329005
Destructive/Damage/Vandalism Of Property,Wednesday,evening,0.04687571948243312
Destructive/Damage/Vandalism Of Property,Thursday,early_morning,0.021043422203803473
Destructive/Damage/Vandalism Of Property,Thursday,late_morning,0.02629276603582447
Destructive/Damage/Vandalism Of Property,Thursday,afternoon,0.035824469309757336
Destructive/Damage/Vandalism Of Property,Thursday,evening,0.048579453884053964
Destructive/Damage/Vandalism Of Property,Friday,early_morning,0.02329971911405811
Destructive/Damage/Vandalism Of Property,Friday,late_morning,0.025463922272873786
Destructive/Damage/Vandalism Of Property,Friday,afternoon,0.041948703780448494
Destructive/Damage/Vandalism Of Property,Friday,evening,0.048211078878298105
Destructive/Damage/Vandalism Of Property,Saturday,early_morning,0.03393654740525855
Destructive/Damage/Vandalism Of Property,Saturday,late_morning,0.027904406686006356
Destructive/Damage/Vandalism Of Property,Saturday,afternoon,0.042086844407606946
Destructive/Damage/Vandalism Of Property,Saturday,evening,0.04880968826265138
Destructive/Damage/Vandalism Of Property,Sunday,early_morning,0.03715982870562232
Destructive/Damage/Vandalism Of Property,Sunday,late_morning,0.023944375374130866
Destructive/Damage/Vandalism Of Property,Sunday,afternoon,0.042086844407606946
Destructive/Damage/Vandalism Of Property,Sunday,evening,0.047428281991066905
Theft From Motor Vehicle,Monday,early_morning,0.023370509443479237
Theft From Motor Vehicle,Monday,late_morning,0.032842010872611106
Theft From Motor Vehicle,Monday,afternoon,0.03962338171832091
Theft From Motor Vehicle,Monday,evening,0.05038390405200919
Theft From Motor Vehicle,Tuesday,early_morning,0.023986997702180126
