year,theater,aircraft,abs_mission_count,relative_mission_count_theater_year,relative_mission_count_aircraft_year
1944,MTO,0B17,10,0.000967305088024763,0.7692307692307693
1945,ETO,0B17,6,0.0002789400278940028,0.2222222222222222
1944,ETO,0B17,21,0.00044538706256627784,0.7777777777777778
1945,MTO,0B17,3,0.0003383331453704748,0.23076923076923078
1945,MTO,0B24,16,0.0018044434419758656,0.36363636363636365
1944,MTO,0B24,28,0.0027084542464693366,0.6363636363636364
1944,ETO,0B24,41,0.0008695652173913044,0.640625
1945,ETO,0B24,23,0.0010692701069270106,0.359375
1942,PTO,100 SQ,1,0.0008431703204047217,1.0
1942,PTO,35 FG,1,0.0008431703204047217,1.0
1942,PTO,43 BG,3,0.002529510961214165,1.0
1942,PTO,A20,118,0.09949409780775717,0.03397638928879931
1945,PTO,A20,1722,0.10999680613222612,0.49582493521451193
1945,CBI,A20,2,0.0005277044854881266,0.5
1944,PTO,A20,1413,0.09119070667957406,0.40685286495824935
1944,MTO,A20,1504,0.14548268523892435,0.23551518947698089
1945,MTO,A20,3210,0.36201646554640804,0.5026620732853117
1943,MTO,A20,1636,0.16437255098965137,0.25618540557469466
1943,CBI,A20,2,0.001287001287001287,0.5
1943,PTO,A20,220,0.05738132498695879,0.06334581053843939
1945,ETO,A20,799,0.037145513714551374,0.46588921282798834
1944,ETO,A20,916,0.019427359490986215,0.5341107871720117
1942,MTO,A20,36,0.05034965034965035,0.005637331663012841
1942,PTO,A24,12,0.01011804384485666,0.14634146341463414
1943,PTO,A24,16,0.004173187271778821,0.1951219512195122
1945,PTO,A24,1,6.387735547748324e-05,0.012195121951219513
1944,PTO,A24,53,0.003420458212326557,0.6463414634146342
1945,ETO,A26,1192,0.055416085541608553,0.9620661824051655
1944,ETO,A26,47,0.0009968186638388123,0.037933817594834544
1943,MTO,A26,3,0.0003014166582939817,0.000955718381650207
1945,CBI,A26,8,0.0021108179419525065,1.0
1945,PTO,A26,98,0.006259980836793357,1.0
1945,MTO,A26,3136,0.35367091462726963,0.9990442816183498
1943,MTO,A36,573,0.05757058173415051,0.5805471124620061
1944,CBI,A36,291,0.04424509654857838,0.7442455242966752
1945,CBI,A36,1,0.0002638522427440633,0.0025575447570332483
1944,PTO,A36,3,0.0001936108422071636,1.0
1943,CBI,A36,99,0.0637065637065637,0.2531969309462916
1944,ETO,A36,3,6.362672322375397e-05,1.0
1944,MTO,A36,412,0.03985296962662024,0.41742654508611954
1945,MTO,A36,2,0.0002255554302469832,0.002026342451874367
1940,ETO,ALBA,7,0.001072468208978091,1.0
1942,MTO,ALBA,1,0.0013986013986013986,1.0
1943,ETO,B17,2800,0.37649589888395857,0.10050972790580803
1941,MTO,B17,1,0.002421307506053269,0.0003968253968253968
1944,MTO,B17,1064,0.10292126136583478,0.4222222222222222
1943,MTO,B17,1199,0.12046619109816135,0.47579365079365077
1945,MTO,B17,229,0.025826096763279575,0.09087301587301587
1945,PTO,B17,68,0.0043436601724688596,0.07971864009378664
1942,CBI,B17,26,0.058426966292134834,0.9285714285714286
1943,CBI,B17,2,0.001287001287001287,0.07142857142857142
1944,ETO,B17,17422,0.3695015906680806,0.6253858855624955
1945,ETO,B17,7547,0.35086006508600653,0.27090961303754757
1942,ETO,B17,89,0.02499297950014041,0.003194773494148898
1942,MTO,B17,27,0.03776223776223776,0.010714285714285714
1942,PTO,B17,300,0.25295109612141653,0.3516998827667057
1941,PTO,B17,15,1.0,0.017584994138335287
1944,PTO,B17,136,0.00877702484672475,0.15943728018757328
1943,PTO,B17,334,0.08711528429838289,0.39155920281359907
1945,ETO,B24,3828,0.17796373779637378,0.26653669405375296
1942,MTO,B24,147,0.2055944055944056,0.03348519362186788
1944,MTO,B24,2320,0.224414780421745,0.5284738041002278
1943,CBI,B24,420,0.2702702702702703,0.27202072538860106
1944,CBI,B24,460,0.06994070244792458,0.2979274611398964
1944,ETO,B24,10191,0.21613997879109226,0.7095808383233533
1945,CBI,B24,640,0.16886543535620052,0.41450777202072536
1942,PTO,B24,75,0.06323777403035413,0.005607476635514018
1943,PTO,B24,1996,0.520605112154408,0.14923364485981308
1943,MTO,B24,1402,0.14086205164272078,0.3193621867881549
1945,PTO,B24,4859,0.310380070265091,0.36328971962616824
1944,PTO,B24,6445,0.4159406260083898,0.4818691588785047
1942,ETO,B24,13,0.0036506599269868017,0.0009051664113633198
1943,ETO,B24,330,0.04437273093989512,0.022977301211530427
1942,CBI,B24,24,0.05393258426966292,0.015544041450777202
1945,MTO,B24,521,0.05875718957933912,0.11867881548974943
1945,PTO,B25,1740,0.11114659853082082,0.27466456195737965
1944,CBI,B25,1249,0.18990421164664742,0.4871294851794072
1945,CBI,B25,598,0.15778364116094987,0.23322932917316694
1942,CBI,B25,130,0.29213483146067415,0.05070202808112324
1942,MTO,B25,93,0.13006993006993006,0.012082629595946472
1945,MTO,B25,1595,0.1798804556219691,0.2072235936078992
1944,MTO,B25,2654,0.2567227703617721,0.34480966610367675
1943,MTO,B25,3355,0.3370842961921029,0.43588411069247757
1944,ETO,B25,299,0.006341463414634147,0.6674107142857143
1943,ETO,B25,55,0.007395455156649186,0.12276785714285714
1945,ETO,B25,94,0.004370060437006044,0.20982142857142858
1942,PTO,B25,208,0.17537942664418213,0.032833464877663775
1944,PTO,B25,3375,0.21781219748305905,0.5327545382794001
1943,CBI,B25,587,0.37773487773487774,0.22893915756630265
